cell	dup_level
12-16cell-1	0.809792
12-16cell-10	0.785701
12-16cell-100	0.707759
12-16cell-101	0.694894
12-16cell-102	0.718165
12-16cell-103	0.729966
12-16cell-104	0.76911
12-16cell-105	0.689329
12-16cell-106	0.739436
12-16cell-107	0.689164
12-16cell-108	0.748695
12-16cell-109	0.791634
12-16cell-11	0.770657
12-16cell-110	0.761642
12-16cell-111	0.763151
12-16cell-112	0.771613
12-16cell-113	0.778142
12-16cell-114	0.72761
12-16cell-115	0.740117
12-16cell-116	0.766392
12-16cell-117	0.772733
12-16cell-118	0.744561
12-16cell-119	0.71706
12-16cell-12	0.820145
12-16cell-120	0.749294
12-16cell-121	0.74215
12-16cell-122	0.748596
12-16cell-123	0.782455
12-16cell-124	0.773082
12-16cell-125	0.74717
12-16cell-126	0.740508
12-16cell-127	0.761538
12-16cell-128	0.752215
12-16cell-129	0.755338
12-16cell-13	0.826758
12-16cell-130	0.75211
12-16cell-131	0.72673
12-16cell-132	0.750025
12-16cell-133	0.742697
12-16cell-134	0.736596
12-16cell-135	0.753011
12-16cell-136	0.748638
12-16cell-137	0.719361
12-16cell-138	0.725529
12-16cell-139	0.7234
12-16cell-14	0.796001
12-16cell-140	0.745178
12-16cell-141	0.745098
12-16cell-142	0.778145
12-16cell-143	0.736218
12-16cell-144	0.668591
12-16cell-145	0.741704
12-16cell-146	0.722274
12-16cell-147	0.753528
12-16cell-148	0.738326
12-16cell-149	0.750182
12-16cell-15	0.813047
12-16cell-150	0.751009
12-16cell-151	0.785701
12-16cell-152	0.755888
12-16cell-153	0.74505
12-16cell-154	0.741599
12-16cell-155	0.735339
12-16cell-156	0.731648
12-16cell-157	0.744692
12-16cell-158	0.738055
12-16cell-159	0.747801
12-16cell-16	0.814297
12-16cell-160	0.735617
12-16cell-161	0.71594
12-16cell-162	0.755113
12-16cell-163	0.754354
12-16cell-164	0.747574
12-16cell-165	0.757089
12-16cell-166	0.743663
12-16cell-167	0.790501
12-16cell-168	0.753724
12-16cell-169	0.722486
12-16cell-17	0.812641
12-16cell-170	0.752092
12-16cell-171	0.740397
12-16cell-172	0.740725
12-16cell-173	0.733571
12-16cell-174	0.705401
12-16cell-175	0.772864
12-16cell-176	0.750076
12-16cell-177	0.759366
12-16cell-178	0.753296
12-16cell-179	0.712305
12-16cell-18	0.799649
12-16cell-180	0.725282
12-16cell-181	0.73615
12-16cell-182	0.742254
12-16cell-183	0.745751
12-16cell-184	0.751211
12-16cell-185	0.729976
12-16cell-186	0.712766
12-16cell-187	0.761131
12-16cell-188	0.752382
12-16cell-189	0.730546
12-16cell-19	0.775708
12-16cell-190	0.732134
12-16cell-191	0.590952
12-16cell-192	0.722862
12-16cell-193	0.751171
12-16cell-194	0.742834
12-16cell-195	0.711185
12-16cell-196	0.750314
12-16cell-197	0.702788
12-16cell-198	0.722728
12-16cell-199	0.728968
12-16cell-2	0.794693
12-16cell-20	0.767112
12-16cell-200	0.740637
12-16cell-201	0.69899
12-16cell-202	0.73228
12-16cell-203	0.681704
12-16cell-204	0.752512
12-16cell-205	0.762691
