cell	frac_open
12-16cell-1	0.024596
12-16cell-10	0.009610
12-16cell-100	0.003661
12-16cell-101	0.014732
12-16cell-102	0.060939
12-16cell-103	0.071142
12-16cell-104	0.029918
12-16cell-105	0.022721
12-16cell-106	0.051971
12-16cell-107	0.068736
12-16cell-108	0.088741
12-16cell-109	0.051481
12-16cell-11	0.023018
12-16cell-110	0.068336
12-16cell-111	0.007211
12-16cell-112	0.083874
12-16cell-113	0.079635
12-16cell-114	0.035095
12-16cell-115	0.098537
12-16cell-116	0.067633
12-16cell-117	0.017103
12-16cell-118	0.047821
12-16cell-119	0.028050
12-16cell-12	0.023748
12-16cell-120	0.093305
12-16cell-121	0.089831
12-16cell-122	0.068826
12-16cell-123	0.166336
12-16cell-124	0.118384
12-16cell-125	0.084143
12-16cell-126	0.101343
12-16cell-127	0.194469
12-16cell-128	0.064338
12-16cell-129	0.232046
12-16cell-13	0.020874
12-16cell-130	0.107333
12-16cell-131	0.027119
12-16cell-132	0.137245
12-16cell-133	0.078001
12-16cell-134	0.088190
12-16cell-135	0.090189
12-16cell-136	0.060547
12-16cell-137	0.028829
12-16cell-138	0.035020
12-16cell-139	0.141974
12-16cell-14	0.007183
12-16cell-140	0.111614
12-16cell-141	0.063373
12-16cell-142	0.065517
12-16cell-143	0.032731
12-16cell-144	0.020688
12-16cell-145	0.035778
12-16cell-146	0.110063
12-16cell-147	0.096311
12-16cell-148	0.023762
12-16cell-149	0.112200
12-16cell-15	0.023107
12-16cell-150	0.075292
12-16cell-151	0.034964
12-16cell-152	0.128855
12-16cell-153	0.122037
12-16cell-154	0.096559
12-16cell-155	0.079366
12-16cell-156	0.007038
12-16cell-157	0.052412
12-16cell-158	0.107823
12-16cell-159	0.036240
12-16cell-16	0.028781
12-16cell-160	0.116295
12-16cell-161	0.026582
12-16cell-162	0.053115
12-16cell-163	0.085798
12-16cell-164	0.067426
12-16cell-165	0.134991
12-16cell-166	0.045898
12-16cell-167	0.131992
12-16cell-168	0.117405
12-16cell-169	0.024314
12-16cell-17	0.017103
12-16cell-170	0.142574
12-16cell-171	0.039673
12-16cell-172	0.037446
12-16cell-173	0.068164
12-16cell-174	0.044891
12-16cell-175	0.116385
12-16cell-176	0.106031
12-16cell-177	0.112766
12-16cell-178	0.142636
12-16cell-179	0.052826
12-16cell-18	0.016751
12-16cell-180	0.020253
12-16cell-181	0.077898
12-16cell-182	0.039507
12-16cell-183	0.339420
12-16cell-184	0.336173
12-16cell-185	0.204692
12-16cell-186	0.297562
12-16cell-187	0.357351
12-16cell-188	0.083902
12-16cell-189	0.292468
12-16cell-19	0.017393
12-16cell-190	0.226662
12-16cell-191	0.076981
12-16cell-192	0.233934
12-16cell-193	0.200638
12-16cell-194	0.212192
12-16cell-195	0.181033
12-16cell-196	0.300878
12-16cell-197	0.248177
12-16cell-198	0.290434
12-16cell-199	0.157664
12-16cell-2	0.023748
12-16cell-20	0.012105
12-16cell-200	0.330273
12-16cell-201	0.172754
12-16cell-202	0.074513
12-16cell-203	0.193372
12-16cell-204	0.241772
12-16cell-205	0.205209
12-16cell-206	0.110008
12-16cell-207	0.073334
12-16cell-208	0.080007
12-16cell-209	0.046318
12-16cell-21	0.017489
12-16cell-210	0.233928
12-16cell-211	0.068233
12-16cell-212	0.033813
12-16cell-213	0.221781
12-16cell-214	0.091499
12-16cell-215	0.044581
12-16cell-216	0.073272
12-16cell-217	0.089369
12-16cell-218	0.211165
12-16cell-219	0.125739
12-16cell-22	0.016393
12-16cell-220	0.128476
12-16cell-221	0.080821
12-16cell-222	0.008100
12-16cell-223	0.008245
12-16cell-224	0.002247
12-16cell-225	0.046739
12-16cell-226	0.025637
12-16cell-227	0.045649
12-16cell-228	0.048793
12-16cell-229	0.055645
12-16cell-23	0.018337
12-16cell-230	0.054280
12-16cell-231	0.010444
12-16cell-232	0.060133
12-16cell-233	0.065282
12-16cell-234	0.033468
12-16cell-235	0.013318
12-16cell-236	0.023335
12-16cell-237	0.028484
12-16cell-238	0.022087
12-16cell-239	0.010664
12-16cell-24	0.018240
12-16cell-240	0.034689
12-16cell-241	0.032441
12-16cell-242	0.005749
12-16cell-243	0.018151
12-16cell-244	0.043264
12-16cell-245	0.019412
12-16cell-246	0.017923
12-16cell-247	0.039535
12-16cell-248	0.021742
12-16cell-249	0.024465
12-16cell-25	0.020826
12-16cell-250	0.019164
12-16cell-251	0.034689
12-16cell-252	0.014401
12-16cell-253	0.031276
12-16cell-254	0.003433
12-16cell-255	0.040914
12-16cell-256	0.035674
12-16cell-257	0.028119
12-16cell-258	0.030952
12-16cell-259	0.015628
12-16cell-26	0.022494
12-16cell-260	0.002985
12-16cell-261	0.004957
12-16cell-262	0.039225
12-16cell-263	0.084612
12-16cell-264	0.037998
12-16cell-265	0.029408
12-16cell-266	0.063283
12-16cell-267	0.079869
12-16cell-268	0.021046
12-16cell-269	0.039873
12-16cell-27	0.010106
12-16cell-270	0.016717
12-16cell-271	0.060216
12-16cell-272	0.090375
12-16cell-273	0.111532
12-16cell-274	0.049620
12-16cell-275	0.036095
12-16cell-276	0.051288
12-16cell-277	0.029656
12-16cell-278	0.090996
12-16cell-279	0.049186
12-16cell-28	0.011430
12-16cell-280	0.126167
12-16cell-281	0.121541
12-16cell-282	0.105024
12-16cell-283	0.023025
12-16cell-284	0.025424
12-16cell-285	0.029711
12-16cell-286	0.017537
12-16cell-287	0.005660
12-16cell-288	0.010788
12-16cell-289	0.011443
12-16cell-29	0.022466
12-16cell-290	0.043340
12-16cell-291	0.011609
12-16cell-292	0.036881
12-16cell-293	0.020460
12-16cell-294	0.058933
12-16cell-295	0.071783
12-16cell-296	0.062180
12-16cell-297	0.041989
12-16cell-298	0.008645
12-16cell-299	0.059850
12-16cell-3	0.023521
12-16cell-30	0.007190
12-16cell-300	0.088879
12-16cell-301	0.114434
12-16cell-302	0.077332
12-16cell-303	0.089575
12-16cell-304	0.097027
12-16cell-305	0.106878
12-16cell-306	0.087052
12-16cell-307	0.079483
12-16cell-308	0.009761
12-16cell-309	0.074844
12-16cell-31	0.020343
12-16cell-310	0.019075
12-16cell-311	0.080690
12-16cell-312	0.064193
12-16cell-313	0.023721
12-16cell-314	0.058051
12-16cell-315	0.062925
12-16cell-316	0.044705
12-16cell-317	0.013574
12-16cell-318	0.032448
12-16cell-319	0.035344
12-16cell-32	0.027995
12-16cell-320	0.083578
12-16cell-321	0.062566
12-16cell-322	0.063001
12-16cell-323	0.109436
12-16cell-324	0.112035
12-16cell-325	0.075223
12-16cell-326	0.110167
12-16cell-327	0.022170
12-16cell-328	0.182253
12-16cell-329	0.017406
12-16cell-33	0.035199
12-16cell-330	0.073107
12-16cell-331	0.017999
12-16cell-332	0.079642
12-16cell-333	0.030304
12-16cell-334	0.122044
12-16cell-335	0.072472
12-16cell-336	0.046573
12-16cell-337	0.131716
12-16cell-338	0.030366
12-16cell-339	0.123278
12-16cell-34	0.004777
12-16cell-340	0.026023
12-16cell-341	0.114434
12-16cell-342	0.062263
12-16cell-343	0.126063
12-16cell-344	0.232363
12-16cell-345	0.295143
12-16cell-346	0.276151
12-16cell-347	0.263860
12-16cell-348	0.131675
12-16cell-349	0.073424
12-16cell-35	0.007107
12-16cell-350	0.211282
12-16cell-351	0.267610
12-16cell-352	0.233810
12-16cell-353	0.222712
12-16cell-354	0.336422
12-16cell-355	0.146641
12-16cell-356	0.162531
12-16cell-357	0.288015
12-16cell-358	0.046284
12-16cell-359	0.195179
12-16cell-36	0.018502
12-16cell-360	0.530932
12-16cell-361	0.051075
12-16cell-362	0.057031
12-16cell-363	0.064883
12-16cell-364	0.049365
12-16cell-365	0.044898
12-16cell-366	0.025830
12-16cell-367	0.074630
12-16cell-368	0.039156
12-16cell-369	0.010347
12-16cell-37	0.010161
12-16cell-370	0.036874
12-16cell-371	0.062663
12-16cell-372	0.011250
12-16cell-373	0.074361
12-16cell-374	0.041334
12-16cell-375	0.040789
12-16cell-376	0.037129
12-16cell-377	0.020019
12-16cell-378	0.055569
12-16cell-379	0.089527
12-16cell-38	0.003916
12-16cell-380	0.104631
12-16cell-381	0.067868
12-16cell-382	0.009348
12-16cell-383	0.012677
12-16cell-384	0.031283
12-16cell-385	0.026016
12-16cell-386	0.029132
12-16cell-387	0.005039
12-16cell-388	0.009768
12-16cell-389	0.015187
12-16cell-39	0.007107
12-16cell-390	0.021005
12-16cell-391	0.040803
12-16cell-392	0.015745
12-16cell-393	0.051412
12-16cell-394	0.011374
12-16cell-395	0.022163
12-16cell-396	0.024183
12-16cell-397	0.007142
12-16cell-398	0.033813
12-16cell-399	0.029739
12-16cell-4	0.019495
12-16cell-40	0.010685
12-16cell-400	0.024900
12-16cell-401	0.031966
12-16cell-402	0.017055
12-16cell-403	0.009217
12-16cell-404	0.008720
12-16cell-405	0.006935
12-16cell-406	0.006639
12-16cell-407	0.005163
12-16cell-408	0.014835
12-16cell-409	0.003323
12-16cell-41	0.011519
12-16cell-410	0.004977
12-16cell-411	0.005701
12-16cell-412	0.008314
12-16cell-413	0.007266
12-16cell-414	0.008321
12-16cell-415	0.011719
12-16cell-416	0.009430
12-16cell-417	0.023583
12-16cell-418	0.003247
12-16cell-419	0.001241
12-16cell-42	0.041837
12-16cell-420	0.003874
12-16cell-421	0.008003
12-16cell-422	0.004288
12-16cell-423	0.001675
12-16cell-424	0.006942
12-16cell-425	0.004315
12-16cell-426	0.003399
12-16cell-427	0.001806
12-16cell-428	0.005439
12-16cell-429	0.008059
12-16cell-43	0.003619
12-16cell-430	0.006177
12-16cell-431	0.003164
12-16cell-432	0.005349
12-16cell-433	0.003709
12-16cell-434	0.004446
12-16cell-435	0.001248
12-16cell-436	0.002944
12-16cell-437	0.015938
12-16cell-438	0.005032
12-16cell-439	0.009072
12-16cell-44	0.006521
12-16cell-440	0.005143
12-16cell-441	0.012167
12-16cell-442	0.011037
12-16cell-443	0.004288
12-16cell-444	0.004874
12-16cell-445	0.007080
12-16cell-446	0.006073
12-16cell-447	0.008183
12-16cell-448	0.002620
12-16cell-449	0.012932
12-16cell-45	0.004901
12-16cell-450	0.007528
12-16cell-46	0.159911
12-16cell-47	0.089500
12-16cell-48	0.126670
12-16cell-49	0.174215
12-16cell-5	0.006059
12-16cell-50	0.069026
12-16cell-51	0.107147
12-16cell-52	0.187871
12-16cell-53	0.115151
12-16cell-54	0.163082
12-16cell-55	0.081476
12-16cell-56	0.070239
12-16cell-57	0.099840
12-16cell-58	0.087149
12-16cell-59	0.155692
12-16cell-6	0.026554
12-16cell-60	0.141174
12-16cell-61	0.169038
12-16cell-62	0.038335
12-16cell-63	0.053046
12-16cell-64	0.132826
12-16cell-65	0.088266
12-16cell-66	0.109050
12-16cell-67	0.049772
12-16cell-68	0.140126
12-16cell-69	0.072831
12-16cell-7	0.021474
12-16cell-70	0.125353
12-16cell-71	0.118742
12-16cell-72	0.149564
12-16cell-73	0.115047
12-16cell-74	0.125381
12-16cell-75	0.087121
12-16cell-76	0.114096
12-16cell-77	0.103549
12-16cell-78	0.116819
12-16cell-79	0.166329
12-16cell-8	0.030477
12-16cell-80	0.125105
12-16cell-81	0.105900
12-16cell-82	0.119590
12-16cell-83	0.008720
12-16cell-84	0.007542
12-16cell-85	0.034254
12-16cell-86	0.008003
12-16cell-87	0.016262
12-16cell-88	0.003316
12-16cell-89	0.020598
12-16cell-9	0.010554
12-16cell-90	0.002282
12-16cell-91	0.007486
12-16cell-92	0.003295
12-16cell-93	0.018633
12-16cell-94	0.026913
12-16cell-95	0.002351
12-16cell-96	0.017365
12-16cell-97	0.016131
12-16cell-98	0.002378
12-16cell-99	0.002744
2cell-1	0.017158
2cell-10	0.024741
2cell-100	0.088217
2cell-101	0.054742
2cell-102	0.104135
2cell-103	0.030683
2cell-104	0.176311
2cell-105	0.106444
2cell-106	0.091933
2cell-107	0.087411
2cell-108	0.123933
2cell-109	0.102591
2cell-11	0.001255
2cell-110	0.078690
2cell-111	0.059416
2cell-112	0.071949
2cell-113	0.056335
2cell-114	0.121569
2cell-115	0.103949
2cell-116	0.108671
2cell-117	0.330514
2cell-118	0.268726
2cell-119	0.301182
2cell-12	0.038197
2cell-120	0.255491
2cell-121	0.003143
2cell-122	0.279281
2cell-123	0.395665
2cell-124	0.003164
2cell-125	0.282010
2cell-126	0.435565
2cell-127	0.399016
2cell-128	0.402993
2cell-129	0.312032
2cell-13	0.019144
2cell-130	0.243282
2cell-131	0.400539
2cell-132	0.157574
2cell-133	0.443872
2cell-134	0.432222
2cell-135	0.385559
2cell-136	0.343977
2cell-137	0.184997
2cell-138	0.221078
2cell-139	0.299886
2cell-14	0.023914
2cell-140	0.333009
2cell-141	0.259737
2cell-142	0.378866
2cell-143	0.225386
2cell-144	0.292709
2cell-145	0.249383
2cell-146	0.114654
2cell-147	0.257931
2cell-148	0.178551
2cell-149	0.189464
2cell-15	0.023735
2cell-150	0.081834
2cell-151	0.309661
2cell-152	0.002861
2cell-153	0.316478
2cell-154	0.080152
2cell-155	0.302898
2cell-156	0.254415
2cell-157	0.372523
2cell-158	0.203685
2cell-159	0.210420
2cell-16	0.015200
2cell-160	0.339986
2cell-161	0.219430
2cell-162	0.260192
2cell-163	0.215018
2cell-164	0.194413
2cell-165	0.366788
2cell-166	0.290021
2cell-167	0.010471
2cell-168	0.376225
2cell-169	0.134315
2cell-17	0.021556
2cell-170	0.401015
2cell-171	0.314693
2cell-172	0.350464
2cell-173	0.230743
2cell-174	0.303167
2cell-175	0.042775
2cell-176	0.024514
2cell-177	0.031035
2cell-178	0.027981
2cell-179	0.049158
2cell-18	0.016545
2cell-180	0.036267
2cell-181	0.040914
2cell-182	0.046387
2cell-183	0.036791
2cell-184	0.028278
2cell-185	0.037425
2cell-186	0.026513
2cell-187	0.044650
2cell-188	0.066827
2cell-189	0.043292
2cell-19	0.036777
2cell-190	0.027443
2cell-191	0.039052
2cell-192	0.031311
2cell-193	0.029353
2cell-194	0.039107
2cell-195	0.018902
2cell-196	0.009430
2cell-197	0.009782
2cell-198	0.006480
2cell-199	0.007397
2cell-2	0.002247
2cell-20	0.015862
2cell-200	0.028064
2cell-201	0.010182
2cell-202	0.016490
2cell-203	0.016717
2cell-204	0.009582
2cell-205	0.007797
2cell-206	0.011567
2cell-207	0.012457
2cell-208	0.000117
2cell-209	0.008272
2cell-21	0.077608
2cell-210	0.007673
2cell-211	0.015497
2cell-212	0.009575
2cell-213	0.011402
2cell-214	0.009403
2cell-215	0.010892
2cell-216	0.022101
2cell-217	0.011933
2cell-218	0.016007
2cell-219	0.007804
2cell-22	0.056355
2cell-220	0.019654
2cell-221	0.007831
2cell-222	0.022142
2cell-223	0.014904
2cell-224	0.019805
2cell-225	0.013374
2cell-226	0.013877
2cell-227	0.009210
2cell-228	0.017730
2cell-229	0.009892
2cell-23	0.057955
2cell-230	0.016614
2cell-231	0.022839
2cell-232	0.008052
2cell-233	0.019578
2cell-234	0.013380
2cell-235	0.001427
2cell-236	0.014828
2cell-237	0.015966
2cell-238	0.010299
2cell-239	0.005715
2cell-24	0.079021
2cell-240	0.007114
2cell-241	0.008045
2cell-242	0.009327
2cell-243	0.017717
2cell-244	0.004646
2cell-245	0.008879
2cell-25	0.058478
2cell-26	0.068957
2cell-27	0.082951
2cell-28	0.097200
2cell-29	0.018978
2cell-3	0.008844
2cell-30	0.084019
2cell-31	0.109195
2cell-32	0.046449
2cell-33	0.068336
2cell-34	0.056872
2cell-35	0.059561
2cell-36	0.076023
2cell-37	0.086342
2cell-38	0.278543
2cell-39	0.316644
2cell-4	0.025279
2cell-40	0.078311
2cell-41	0.297638
2cell-42	0.232962
2cell-43	0.156947
2cell-44	0.001820
2cell-45	0.329080
2cell-46	0.002199
2cell-47	0.296349
2cell-48	0.291724
2cell-49	0.346583
2cell-5	0.014670
2cell-50	0.069584
2cell-51	0.322634
2cell-52	0.010795
2cell-53	0.008300
2cell-54	0.005177
2cell-55	0.005322
2cell-56	0.009830
2cell-57	0.008486
2cell-58	0.003888
2cell-59	0.007473
2cell-6	0.011802
2cell-60	0.006149
2cell-61	0.007976
2cell-62	0.012443
2cell-63	0.009024
2cell-64	0.004329
2cell-65	0.005474
2cell-66	0.006701
2cell-67	0.007073
2cell-68	0.009520
2cell-69	0.004791
2cell-7	0.017172
2cell-70	0.008452
2cell-71	0.002082
2cell-72	0.000931
2cell-73	0.006852
2cell-74	0.005343
2cell-75	0.003847
2cell-76	0.008776
2cell-77	0.069322
2cell-78	0.109698
2cell-79	0.158098
2cell-8	0.010340
2cell-80	0.086618
2cell-81	0.092450
2cell-82	0.142332
2cell-83	0.094132
2cell-84	0.139244
2cell-85	0.122355
2cell-86	0.059202
2cell-87	0.052185
2cell-88	0.126091
2cell-89	0.002523
2cell-9	0.015910
2cell-90	0.069253
2cell-91	0.124381
2cell-92	0.029132
2cell-93	0.120645
2cell-94	0.082992
2cell-95	0.058623
2cell-96	0.137782
2cell-97	0.142174
2cell-98	0.211820
2cell-99	0.088004
3-4cell-1	0.076691
3-4cell-10	0.141870
3-4cell-100	0.028574
3-4cell-101	0.032655
3-4cell-102	0.024962
3-4cell-103	0.019874
3-4cell-104	0.028526
3-4cell-105	0.036922
3-4cell-106	0.058844
3-4cell-107	0.026016
3-4cell-108	0.064124
3-4cell-109	0.041320
3-4cell-11	0.052612
3-4cell-110	0.021715
3-4cell-111	0.053715
3-4cell-112	0.023707
3-4cell-113	0.013429
3-4cell-114	0.021467
3-4cell-115	0.021136
3-4cell-116	0.023790
3-4cell-117	0.039018
3-4cell-118	0.040652
3-4cell-119	0.023824
3-4cell-12	0.200314
3-4cell-120	0.006321
3-4cell-121	0.003943
3-4cell-122	0.003819
3-4cell-123	0.003840
3-4cell-124	0.007693
3-4cell-125	0.005439
3-4cell-126	0.006728
3-4cell-127	0.008272
3-4cell-128	0.004439
3-4cell-129	0.005315
3-4cell-13	0.383684
3-4cell-130	0.005074
