cell	frip
12-16cell-1	0.820980
12-16cell-10	0.874092
12-16cell-100	0.708086
12-16cell-101	0.576661
12-16cell-102	0.411582
12-16cell-103	0.441830
12-16cell-104	0.661749
12-16cell-105	0.355760
12-16cell-106	0.537025
12-16cell-107	0.483153
12-16cell-108	0.416249
12-16cell-109	0.637587
12-16cell-11	0.842287
12-16cell-110	0.494407
12-16cell-111	0.814000
12-16cell-112	0.498406
12-16cell-113	0.525488
12-16cell-114	0.368525
12-16cell-115	0.213076
12-16cell-116	0.538659
12-16cell-117	0.683378
12-16cell-118	0.417995
12-16cell-119	0.582931
12-16cell-12	0.778383
12-16cell-120	0.339020
12-16cell-121	0.357716
12-16cell-122	0.348758
12-16cell-123	0.411840
12-16cell-124	0.448824
12-16cell-125	0.321100
12-16cell-126	0.328322
12-16cell-127	0.293734
12-16cell-128	0.356087
12-16cell-129	0.284648
12-16cell-13	0.777748
12-16cell-130	0.325298
12-16cell-131	0.402546
12-16cell-132	0.302628
12-16cell-133	0.349854
12-16cell-134	0.360778
12-16cell-135	0.458589
12-16cell-136	0.369710
12-16cell-137	0.568378
12-16cell-138	0.461976
12-16cell-139	0.261033
12-16cell-14	0.885017
12-16cell-140	0.325106
12-16cell-141	0.473877
12-16cell-142	0.601751
12-16cell-143	0.424287
12-16cell-144	0.391825
12-16cell-145	0.530144
12-16cell-146	0.374983
12-16cell-147	0.456072
12-16cell-148	0.607312
12-16cell-149	0.402777
12-16cell-15	0.813212
12-16cell-150	0.512063
12-16cell-151	0.674010
12-16cell-152	0.380954
12-16cell-153	0.309561
12-16cell-154	0.360554
12-16cell-155	0.362928
12-16cell-156	0.743912
12-16cell-157	0.429651
12-16cell-158	0.333837
12-16cell-159	0.428002
12-16cell-16	0.814722
12-16cell-160	0.352571
12-16cell-161	0.419466
12-16cell-162	0.517118
12-16cell-163	0.186245
12-16cell-164	0.403108
12-16cell-165	0.354308
12-16cell-166	0.309043
12-16cell-167	0.552036
12-16cell-168	0.242422
12-16cell-169	0.292805
12-16cell-17	0.834824
12-16cell-170	0.324468
12-16cell-171	0.309563
12-16cell-172	0.528703
12-16cell-173	0.330618
12-16cell-174	0.481172
12-16cell-175	0.512571
12-16cell-176	0.298969
12-16cell-177	0.357623
12-16cell-178	0.311594
12-16cell-179	0.319262
12-16cell-18	0.868363
12-16cell-180	0.504369
12-16cell-181	0.292196
12-16cell-182	0.467419
12-16cell-183	0.228206
12-16cell-184	0.203854
12-16cell-185	0.243722
12-16cell-186	0.210205
12-16cell-187	0.289101
12-16cell-188	0.286684
12-16cell-189	0.222697
12-16cell-19	0.793971
12-16cell-190	0.245204
12-16cell-191	0.380216
12-16cell-192	0.286991
12-16cell-193	0.258941
12-16cell-194	0.278370
12-16cell-195	0.298792
12-16cell-196	0.248613
12-16cell-197	0.257680
12-16cell-198	0.194814
12-16cell-199	0.329772
12-16cell-2	0.842578
12-16cell-20	0.851915
12-16cell-200	0.246006
12-16cell-201	0.259786
12-16cell-202	0.424779
12-16cell-203	0.282334
12-16cell-204	0.254316
12-16cell-205	0.259940
12-16cell-206	0.371042
12-16cell-207	0.406602
12-16cell-208	0.451447
12-16cell-209	0.376570
12-16cell-21	0.823288
12-16cell-210	0.295564
12-16cell-211	0.333026
12-16cell-212	0.627088
12-16cell-213	0.331229
12-16cell-214	0.472258
12-16cell-215	0.518265
12-16cell-216	0.356555
12-16cell-217	0.371107
12-16cell-218	0.262715
12-16cell-219	0.228347
12-16cell-22	0.826587
12-16cell-220	0.388037
12-16cell-221	0.440758
12-16cell-222	0.859983
12-16cell-223	0.750181
12-16cell-224	0.851742
12-16cell-225	0.529121
12-16cell-226	0.551686
12-16cell-227	0.573094
12-16cell-228	0.661656
12-16cell-229	0.566169
12-16cell-23	0.841279
12-16cell-230	0.379763
12-16cell-231	0.621615
12-16cell-232	0.319482
12-16cell-233	0.300977
12-16cell-234	0.575446
12-16cell-235	0.516671
12-16cell-236	0.470729
12-16cell-237	0.421936
12-16cell-238	0.625309
12-16cell-239	0.781053
12-16cell-24	0.806031
12-16cell-240	0.648749
12-16cell-241	0.603102
12-16cell-242	0.705701
12-16cell-243	0.369614
12-16cell-244	0.362136
12-16cell-245	0.673160
12-16cell-246	0.497627
12-16cell-247	0.557166
12-16cell-248	0.657844
12-16cell-249	0.685826
12-16cell-25	0.811228
12-16cell-250	0.696149
12-16cell-251	0.607947
12-16cell-252	0.522764
12-16cell-253	0.470652
12-16cell-254	0.865435
12-16cell-255	0.439580
12-16cell-256	0.391423
12-16cell-257	0.513389
12-16cell-258	0.463676
12-16cell-259	0.793383
12-16cell-26	0.843113
12-16cell-260	0.536359
12-16cell-261	0.462344
12-16cell-262	0.699637
12-16cell-263	0.585205
12-16cell-264	0.515384
12-16cell-265	0.305942
12-16cell-266	0.248497
12-16cell-267	0.371333
12-16cell-268	0.397715
12-16cell-269	0.278757
12-16cell-27	0.874756
12-16cell-270	0.432650
12-16cell-271	0.366892
12-16cell-272	0.373494
12-16cell-273	0.270964
12-16cell-274	0.418766
12-16cell-275	0.669125
12-16cell-276	0.355725
12-16cell-277	0.418022
12-16cell-278	0.255996
12-16cell-279	0.325951
12-16cell-28	0.848535
12-16cell-280	0.411942
12-16cell-281	0.367137
12-16cell-282	0.499450
12-16cell-283	0.568198
12-16cell-284	0.662149
12-16cell-285	0.725040
12-16cell-286	0.791816
12-16cell-287	0.866877
12-16cell-288	0.434095
12-16cell-289	0.810108
12-16cell-29	0.801925
12-16cell-290	0.566364
12-16cell-291	0.609859
12-16cell-292	0.569880
12-16cell-293	0.734117
12-16cell-294	0.553733
12-16cell-295	0.549220
12-16cell-296	0.604036
12-16cell-297	0.523564
12-16cell-298	0.796970
12-16cell-299	0.656109
12-16cell-3	0.861393
12-16cell-30	0.895681
12-16cell-300	0.652679
12-16cell-301	0.403843
12-16cell-302	0.576572
12-16cell-303	0.389238
12-16cell-304	0.370299
12-16cell-305	0.386331
12-16cell-306	0.590641
12-16cell-307	0.563697
12-16cell-308	0.676838
12-16cell-309	0.507923
12-16cell-31	0.833922
12-16cell-310	0.408139
12-16cell-311	0.497698
12-16cell-312	0.595874
12-16cell-313	0.465073
12-16cell-314	0.511275
12-16cell-315	0.601907
12-16cell-316	0.365004
12-16cell-317	0.424789
12-16cell-318	0.610236
12-16cell-319	0.482315
12-16cell-32	0.786888
12-16cell-320	0.402741
12-16cell-321	0.458073
12-16cell-322	0.584827
12-16cell-323	0.569713
12-16cell-324	0.278163
12-16cell-325	0.273478
12-16cell-326	0.506872
12-16cell-327	0.639566
12-16cell-328	0.337388
12-16cell-329	0.686726
12-16cell-33	0.794934
12-16cell-330	0.487964
12-16cell-331	0.613232
12-16cell-332	0.468176
12-16cell-333	0.643068
12-16cell-334	0.607564
12-16cell-335	0.370588
12-16cell-336	0.631291
12-16cell-337	0.413299
12-16cell-338	0.564483
12-16cell-339	0.477554
12-16cell-34	0.898316
12-16cell-340	0.427119
12-16cell-341	0.341902
12-16cell-342	0.225786
12-16cell-343	0.495208
12-16cell-344	0.322875
12-16cell-345	0.306505
12-16cell-346	0.338296
12-16cell-347	0.287739
12-16cell-348	0.291948
12-16cell-349	0.358226
12-16cell-35	0.895545
12-16cell-350	0.276690
12-16cell-351	0.240063
12-16cell-352	0.244402
12-16cell-353	0.340581
12-16cell-354	0.206937
12-16cell-355	0.332947
12-16cell-356	0.358383
12-16cell-357	0.349780
12-16cell-358	0.553244
12-16cell-359	0.313624
12-16cell-36	0.867066
12-16cell-360	0.282097
12-16cell-361	0.289572
12-16cell-362	0.483691
12-16cell-363	0.407833
12-16cell-364	0.513489
12-16cell-365	0.321798
12-16cell-366	0.580834
12-16cell-367	0.264647
12-16cell-368	0.390402
12-16cell-369	0.638135
12-16cell-37	0.879639
12-16cell-370	0.573576
12-16cell-371	0.442693
12-16cell-372	0.760732
12-16cell-373	0.428683
12-16cell-374	0.615887
12-16cell-375	0.530906
12-16cell-376	0.469974
12-16cell-377	0.564274
12-16cell-378	0.580638
12-16cell-379	0.447205
12-16cell-38	0.914740
12-16cell-380	0.395888
12-16cell-381	0.497301
12-16cell-382	0.791475
12-16cell-383	0.646218
12-16cell-384	0.493931
12-16cell-385	0.863317
12-16cell-386	0.753197
12-16cell-387	0.903485
12-16cell-388	0.889101
12-16cell-389	0.893970
12-16cell-39	0.885619
12-16cell-390	0.850675
12-16cell-391	0.687165
12-16cell-392	0.852055
12-16cell-393	0.494593
12-16cell-394	0.875527
12-16cell-395	0.780025
12-16cell-396	0.812524
12-16cell-397	0.907890
12-16cell-398	0.658635
12-16cell-399	0.766759
12-16cell-4	0.809100
12-16cell-40	0.889209
12-16cell-400	0.776103
12-16cell-401	0.787639
12-16cell-402	0.876509
12-16cell-403	0.850067
12-16cell-404	0.819205
12-16cell-405	0.843504
12-16cell-406	0.877588
12-16cell-407	0.897745
12-16cell-408	0.571878
12-16cell-409	0.889095
12-16cell-41	0.891227
12-16cell-410	0.875795
12-16cell-411	0.758371
12-16cell-412	0.853273
12-16cell-413	0.862003
12-16cell-414	0.847773
12-16cell-415	0.719173
12-16cell-416	0.823387
12-16cell-417	0.712587
12-16cell-418	0.891773
12-16cell-419	0.905090
12-16cell-42	0.732117
12-16cell-420	0.867630
12-16cell-421	0.836710
