cell	mapping_rate
12-16cell-100	91.23
12-16cell-101	91.84
12-16cell-102	90.37
12-16cell-103	92.63
12-16cell-104	94.14
12-16cell-105	87.63
12-16cell-106	93.01
12-16cell-107	92.95
12-16cell-108	92.18
12-16cell-109	94.76
12-16cell-10	96.21
12-16cell-110	92.44
12-16cell-111	96.18
12-16cell-112	92.22
12-16cell-113	93.75
12-16cell-114	89.74
12-16cell-115	90.67
12-16cell-116	93.64
12-16cell-117	94.06
12-16cell-118	88.32
12-16cell-119	92.69
12-16cell-11	96.15
12-16cell-120	90.84
12-16cell-121	90.95
12-16cell-122	90.21
12-16cell-123	92.22
12-16cell-124	93.28
12-16cell-125	90.07
12-16cell-126	91.35
12-16cell-127	91.36
12-16cell-128	90.54
12-16cell-129	91.48
12-16cell-12	95.66
12-16cell-130	91.85
12-16cell-131	89.83
12-16cell-132	91.31
12-16cell-133	89.54
12-16cell-134	91.26
12-16cell-135	92.03
12-16cell-136	90.57
12-16cell-137	93.67
12-16cell-138	91.31
12-16cell-139	90.04
12-16cell-13	95.38
12-16cell-140	91.46
12-16cell-141	91.25
12-16cell-142	93.89
12-16cell-143	90.41
12-16cell-144	88.96
12-16cell-145	91.75
12-16cell-146	91.12
12-16cell-147	90.86
12-16cell-148	93.82
12-16cell-149	91.43
12-16cell-14	97.18
12-16cell-150	93.45
12-16cell-151	94.79
12-16cell-152	91.85
12-16cell-153	91.55
12-16cell-154	90.56
12-16cell-155	91.94
12-16cell-156	93.71
12-16cell-157	91.35
12-16cell-158	90.93
12-16cell-159	89.78
12-16cell-15	96.06
12-16cell-160	90.90
12-16cell-161	90.88
12-16cell-162	93.51
12-16cell-163	92.28
12-16cell-164	90.60
12-16cell-165	91.80
12-16cell-166	89.49
12-16cell-167	93.92
12-16cell-168	88.14
12-16cell-169	87.10
12-16cell-16	95.99
12-16cell-170	90.51
12-16cell-171	89.85
12-16cell-172	92.52
12-16cell-173	90.34
12-16cell-174	92.32
12-16cell-175	92.13
12-16cell-176	89.72
12-16cell-177	90.05
12-16cell-178	90.03
12-16cell-179	88.59
12-16cell-17	96.36
12-16cell-180	91.64
12-16cell-181	89.16
12-16cell-182	93.03
12-16cell-183	91.12
12-16cell-184	89.87
12-16cell-185	90.41
12-16cell-186	90.61
12-16cell-187	91.49
12-16cell-188	87.91
12-16cell-189	91.60
12-16cell-18	96.43
12-16cell-190	90.65
12-16cell-191	91.33
12-16cell-192	91.14
12-16cell-193	91.30
12-16cell-194	91.89
12-16cell-195	90.93
12-16cell-196	91.10
12-16cell-197	91.29
12-16cell-198	91.20
12-16cell-199	91.79
12-16cell-19	95.83
12-16cell-1	95.59
12-16cell-200	91.30
12-16cell-201	91.31
12-16cell-202	92.69
12-16cell-203	91.57
12-16cell-204	89.97
12-16cell-205	91.51
12-16cell-206	92.67
12-16cell-207	92.43
12-16cell-208	93.65
12-16cell-209	90.76
12-16cell-20	96.66
12-16cell-210	92.10
12-16cell-211	91.69
12-16cell-212	95.43
12-16cell-213	92.34
12-16cell-214	94.12
12-16cell-215	93.42
12-16cell-216	91.66
12-16cell-217	91.34
12-16cell-218	91.51
12-16cell-219	90.38
12-16cell-21	95.51
12-16cell-220	93.24
12-16cell-221	93.37
12-16cell-222	96.87
12-16cell-223	95.76
12-16cell-224	96.70
12-16cell-225	93.39
12-16cell-226	93.97
12-16cell-227	94.41
12-16cell-228	95.26
12-16cell-229	94.75
12-16cell-22	95.63
12-16cell-230	90.47
12-16cell-231	94.99
12-16cell-232	90.12
12-16cell-233	91.31
12-16cell-234	93.94
12-16cell-235	94.06
12-16cell-236	91.46
12-16cell-237	92.26
12-16cell-238	95.25
12-16cell-239	95.86
12-16cell-23	96.30
12-16cell-240	95.02
12-16cell-241	94.15
12-16cell-242	94.16
12-16cell-243	91.24
12-16cell-244	91.53
12-16cell-245	95.27
12-16cell-246	92.67
12-16cell-247	93.92
12-16cell-248	95.12
12-16cell-249	95.11
12-16cell-24	95.94
12-16cell-250	95.60
12-16cell-251	93.79
12-16cell-252	92.76
12-16cell-253	93.36
12-16cell-254	97.09
12-16cell-255	92.43
12-16cell-256	93.01
12-16cell-257	92.85
12-16cell-258	92.62
12-16cell-259	96.28
12-16cell-25	95.84
12-16cell-260	93.39
12-16cell-261	89.36
12-16cell-262	95.36
12-16cell-263	94.00
12-16cell-264	92.06
12-16cell-265	90.37
12-16cell-266	90.25
12-16cell-267	92.05
12-16cell-268	90.65
12-16cell-269	90.00
12-16cell-26	96.26
12-16cell-270	90.80
12-16cell-271	91.45
12-16cell-272	92.44
12-16cell-273	90.22
12-16cell-274	92.70
12-16cell-275	94.89
12-16cell-276	90.63
12-16cell-277	91.82
12-16cell-278	90.82
12-16cell-279	91.49
12-16cell-27	96.76
12-16cell-280	91.48
12-16cell-281	92.30
12-16cell-282	93.50
12-16cell-283	91.97
12-16cell-284	94.93
12-16cell-285	95.58
12-16cell-286	95.86
12-16cell-287	96.87
12-16cell-288	86.40
12-16cell-289	95.90
12-16cell-28	96.60
12-16cell-290	92.81
12-16cell-291	93.45
12-16cell-292	93.13
12-16cell-293	96.09
12-16cell-294	94.43
12-16cell-295	93.37
12-16cell-296	94.08
12-16cell-297	93.46
12-16cell-298	96.51
12-16cell-299	94.58
12-16cell-29	95.87
12-16cell-2	95.93
12-16cell-300	94.07
12-16cell-301	91.75
12-16cell-302	94.50
12-16cell-303	91.34
12-16cell-304	90.77
12-16cell-305	90.19
12-16cell-306	94.38
12-16cell-307	93.93
12-16cell-308	94.54
12-16cell-309	93.24
12-16cell-30	96.96
12-16cell-310	88.84
12-16cell-311	91.90
12-16cell-312	93.84
12-16cell-313	91.07
12-16cell-314	92.73
12-16cell-315	94.39
12-16cell-316	84.24
12-16cell-317	90.90
12-16cell-318	93.98
12-16cell-319	92.16
12-16cell-31	96.26
12-16cell-320	91.50
12-16cell-321	92.46
12-16cell-322	93.56
12-16cell-323	93.76
12-16cell-324	91.31
12-16cell-325	90.19
12-16cell-326	92.85
12-16cell-327	94.16
12-16cell-328	90.99
12-16cell-329	93.79
12-16cell-32	95.34
12-16cell-330	93.01
12-16cell-331	93.60
12-16cell-332	93.18
12-16cell-333	94.30
12-16cell-334	94.66
12-16cell-335	89.09
12-16cell-336	94.22
12-16cell-337	92.12
12-16cell-338	94.27
12-16cell-339	93.03
12-16cell-33	96.08
12-16cell-340	91.18
12-16cell-341	90.43
12-16cell-342	86.66
12-16cell-343	92.29
12-16cell-344	91.91
12-16cell-345	92.60
12-16cell-346	92.53
12-16cell-347	91.59
12-16cell-348	90.54
12-16cell-349	91.76
12-16cell-34	97.22
12-16cell-350	92.19
12-16cell-351	91.50
12-16cell-352	91.46
12-16cell-353	91.97
12-16cell-354	90.79
12-16cell-355	92.52
12-16cell-356	91.62
12-16cell-357	92.05
12-16cell-358	93.60
12-16cell-359	91.76
12-16cell-35	96.91
12-16cell-360	91.29
12-16cell-361	87.71
12-16cell-362	91.97
12-16cell-363	91.88
12-16cell-364	89.91
12-16cell-365	87.38
12-16cell-366	91.78
12-16cell-367	87.16
12-16cell-368	87.48
12-16cell-369	92.35
12-16cell-36	96.66
12-16cell-370	92.16
12-16cell-371	91.39
12-16cell-372	94.57
12-16cell-373	91.31
12-16cell-374	89.59
12-16cell-375	93.04
12-16cell-376	90.94
12-16cell-377	92.82
12-16cell-378	94.07
12-16cell-379	91.55
12-16cell-37	96.73
12-16cell-380	91.50
12-16cell-381	92.39
12-16cell-382	96.04
12-16cell-383	94.55
12-16cell-384	93.54
12-16cell-385	97.42
12-16cell-386	96.40
12-16cell-387	97.27
12-16cell-388	97.48
12-16cell-389	97.67
12-16cell-38	97.19
12-16cell-390	97.15
12-16cell-391	95.56
12-16cell-392	97.19
12-16cell-393	92.37
12-16cell-394	97.65
12-16cell-395	96.39
12-16cell-396	97.12
12-16cell-397	97.86
12-16cell-398	95.40
12-16cell-399	96.54
12-16cell-39	96.72
12-16cell-3	95.98
12-16cell-400	96.74
12-16cell-401	97.07
12-16cell-402	97.73
12-16cell-403	97.28
12-16cell-404	96.96
12-16cell-405	97.06
12-16cell-406	97.17
12-16cell-407	97.79
12-16cell-408	94.34
12-16cell-409	96.66
12-16cell-40	96.66
12-16cell-410	97.21
12-16cell-411	94.56
12-16cell-412	96.87
12-16cell-413	97.05
12-16cell-414	96.92
12-16cell-415	95.32
12-16cell-416	96.32
12-16cell-417	95.28
12-16cell-418	97.81
12-16cell-419	97.51
12-16cell-41	97.11
12-16cell-420	97.40
12-16cell-421	95.93
12-16cell-422	97.05
12-16cell-423	97.61
12-16cell-424	96.58
12-16cell-425	97.49
12-16cell-426	96.41
12-16cell-427	98.00
12-16cell-428	97.22
12-16cell-429	96.80
12-16cell-42	95.56
12-16cell-430	97.26
12-16cell-431	97.49
12-16cell-432	97.63
12-16cell-433	96.96
12-16cell-434	96.50
12-16cell-435	42.91
12-16cell-436	97.75
12-16cell-437	97.20
12-16cell-438	97.29
12-16cell-439	95.62
12-16cell-43	96.95
12-16cell-440	95.76
12-16cell-441	95.90
12-16cell-442	97.25
12-16cell-443	97.96
12-16cell-444	97.00
12-16cell-445	95.16
12-16cell-446	97.35
12-16cell-447	97.08
12-16cell-448	97.72
12-16cell-449	96.69
12-16cell-44	97.03
12-16cell-450	96.71
12-16cell-45	96.90
12-16cell-46	93.79
12-16cell-47	93.75
12-16cell-48	95.22
12-16cell-49	94.46
12-16cell-4	95.12
12-16cell-50	94.98
12-16cell-51	94.28
12-16cell-52	94.04
12-16cell-53	94.52
12-16cell-54	94.49
12-16cell-55	95.26
12-16cell-56	95.99
12-16cell-57	95.70
12-16cell-58	94.22
12-16cell-59	94.60
12-16cell-5	96.31
12-16cell-60	95.25
12-16cell-61	95.28
12-16cell-62	95.18
12-16cell-63	96.01
12-16cell-64	94.98
12-16cell-65	95.47
12-16cell-66	95.98
12-16cell-67	96.20
12-16cell-68	94.15
12-16cell-69	94.85
12-16cell-6	96.09
12-16cell-70	95.67
12-16cell-71	94.87
12-16cell-72	92.06
12-16cell-73	94.73
12-16cell-74	94.13
12-16cell-75	95.13
12-16cell-76	93.91
12-16cell-77	95.46
12-16cell-78	94.76
12-16cell-79	94.20
12-16cell-7	95.94
12-16cell-80	94.16
12-16cell-81	95.25
12-16cell-82	95.18
12-16cell-83	91.01
12-16cell-84	91.91
12-16cell-85	93.57
12-16cell-86	93.28
12-16cell-87	90.61
12-16cell-88	87.41
12-16cell-89	91.71
12-16cell-8	96.11
12-16cell-90	93.66
12-16cell-91	93.50
12-16cell-92	85.89
12-16cell-93	92.67
12-16cell-94	91.77
12-16cell-95	81.84
12-16cell-96	89.72
12-16cell-97	93.33
12-16cell-98	89.59
12-16cell-99	68.21
12-16cell-9	96.31
2cell-100	83.31
2cell-101	79.85
2cell-102	85.99
2cell-103	81.18
2cell-104	87.31
2cell-105	84.24
2cell-106	84.05
2cell-107	81.77
2cell-108	86.05
2cell-109	85.37
2cell-10	81.56
2cell-110	82.55
2cell-111	80.25
2cell-112	79.96
2cell-113	78.53
2cell-114	62.23
2cell-115	84.30
2cell-116	81.83
2cell-117	91.55
2cell-118	86.87
2cell-119	91.39
2cell-11	31.25
2cell-120	88.47
2cell-121	22.75
2cell-122	90.13
2cell-123	91.08
2cell-124	30.50
2cell-125	89.64
2cell-126	91.12
2cell-127	91.74
2cell-128	90.78
2cell-129	87.93
2cell-12	83.36
2cell-130	87.28
2cell-131	91.10
2cell-132	86.64
2cell-133	91.44
2cell-134	91.03
2cell-135	91.71
2cell-136	89.64
2cell-137	89.71
2cell-138	90.02
2cell-139	91.27
2cell-13	75.79
2cell-140	90.48
2cell-141	89.06
2cell-142	91.21
2cell-143	89.90
2cell-144	90.97
2cell-145	89.64
2cell-146	86.57
2cell-147	89.06
2cell-148	88.55
2cell-149	90.48
2cell-14	80.95
2cell-150	85.99
2cell-151	91.18
2cell-152	21.70
2cell-153	90.81
2cell-154	85.63
2cell-155	90.67
2cell-156	89.63
2cell-157	90.10
2cell-158	87.30
2cell-159	88.02
2cell-15	78.82
2cell-160	91.29
2cell-161	90.20
2cell-162	89.69
2cell-163	90.51
2cell-164	86.75
2cell-165	90.79
2cell-166	88.98
2cell-167	65.59
2cell-168	90.36
2cell-169	86.10
2cell-16	77.42
2cell-170	91.18
2cell-171	90.72
2cell-172	91.83
2cell-173	91.80
2cell-174	90.42
2cell-175	91.19
2cell-176	93.93
2cell-177	94.93
2cell-178	90.94
2cell-179	91.20
2cell-17	84.19
2cell-180	89.91
2cell-181	93.10
2cell-182	93.29
2cell-183	92.05
2cell-184	93.13
2cell-185	95.02
2cell-186	91.87
2cell-187	91.94
2cell-188	92.11
2cell-189	89.16
2cell-18	72.38
2cell-190	90.68
2cell-191	91.26
2cell-192	93.30
2cell-193	95.06
2cell-194	94.93
2cell-195	88.35
2cell-196	90.57
2cell-197	95.04
2cell-198	87.50
2cell-199	92.23
2cell-19	83.07
2cell-1	72.14
2cell-200	90.37
2cell-201	93.57
2cell-202	90.91
2cell-203	90.36
2cell-204	88.08
2cell-205	91.03
2cell-206	89.90
2cell-207	90.23
2cell-208	35.08
2cell-209	85.66
2cell-20	88.99
2cell-210	91.40
2cell-211	92.04
2cell-212	91.64
2cell-213	90.87
2cell-214	91.14
2cell-215	88.80
2cell-216	91.77
2cell-217	89.85
2cell-218	91.32
2cell-219	90.87
2cell-21	86.37
2cell-220	90.43
2cell-221	90.06
2cell-222	90.16
2cell-223	91.63
2cell-224	89.90
2cell-225	94.68
2cell-226	90.06
2cell-227	90.73
2cell-228	89.81
2cell-229	89.62
2cell-22	86.78
2cell-230	90.23
2cell-231	91.10
2cell-232	89.48
2cell-233	90.40
2cell-234	90.23
2cell-235	80.92
2cell-236	91.26
2cell-237	91.37
2cell-238	87.80
2cell-239	94.01
2cell-23	90.97
2cell-240	95.06
2cell-241	90.17
2cell-242	93.46
2cell-243	90.67
2cell-244	87.48
2cell-245	95.51
2cell-24	90.74
2cell-25	90.19
2cell-26	70.77
2cell-27	86.66
2cell-28	90.29
2cell-29	74.92
2cell-2	21.77
2cell-30	87.21
2cell-31	87.24
2cell-32	34.18
2cell-33	87.78
2cell-34	85.15
2cell-35	85.70
2cell-36	85.80
2cell-37	86.41
2cell-38	90.01
2cell-39	90.77
2cell-3	69.68
2cell-40	88.79
2cell-41	91.17
2cell-42	90.11
2cell-43	90.04
2cell-44	36.08
2cell-45	89.99
2cell-46	87.81
2cell-47	89.76
2cell-48	91.15
2cell-49	89.94
2cell-4	70.43
2cell-50	84.79
2cell-51	89.47
2cell-52	76.67
2cell-53	73.20
2cell-54	76.76
2cell-55	89.98
2cell-56	85.48
2cell-57	57.84
2cell-58	76.87
2cell-59	72.91
2cell-5	65.87
2cell-60	81.98
2cell-61	76.14
2cell-62	82.38
2cell-63	74.26
2cell-64	62.59
2cell-65	70.01
2cell-66	84.88
2cell-67	84.01
2cell-68	83.61
2cell-69	83.44
2cell-6	68.06
2cell-70	86.25
2cell-71	27.64
2cell-72	83.95
2cell-73	74.66
2cell-74	84.21
2cell-75	82.72
2cell-76	81.01
2cell-77	80.90
2cell-78	84.10
2cell-79	87.59
2cell-7	76.41
2cell-80	83.64
2cell-81	87.13
2cell-82	88.65
2cell-83	86.81
2cell-84	90.05
2cell-85	87.21
2cell-86	80.79
2cell-87	86.58
2cell-88	85.61
2cell-89	20.22
2cell-8	78.20
2cell-90	85.43
2cell-91	85.89
2cell-92	77.85
2cell-93	89.05
2cell-94	85.25
2cell-95	85.09
2cell-96	87.37
2cell-97	88.57
2cell-98	88.88
2cell-99	85.58
2cell-9	79.80
3-4cell-100	89.93
3-4cell-101	94.94
3-4cell-102	94.65
3-4cell-103	91.69
3-4cell-104	93.06
3-4cell-105	92.45
3-4cell-106	92.34
3-4cell-107	92.57
3-4cell-108	91.63
3-4cell-109	94.89
3-4cell-10	89.68
3-4cell-110	95.54
3-4cell-111	92.61
3-4cell-112	89.58
3-4cell-113	90.39
3-4cell-114	78.16
3-4cell-115	91.12
3-4cell-116	91.41
3-4cell-117	91.73
3-4cell-118	92.18
3-4cell-119	92.44
3-4cell-11	86.94
3-4cell-120	87.79
3-4cell-121	79.72
3-4cell-122	87.63
3-4cell-123	89.13
3-4cell-124	71.25
3-4cell-125	87.39
3-4cell-126	88.36
3-4cell-127	86.14
3-4cell-128	88.17
3-4cell-129	88.41
3-4cell-12	90.88
3-4cell-130	86.81
3-4cell-131	85.71
3-4cell-132	89.04
3-4cell-133	83.63
3-4cell-134	88.75
3-4cell-135	87.49
3-4cell-136	85.48
3-4cell-137	86.86
3-4cell-138	89.65
3-4cell-139	89.58
3-4cell-13	91.09
3-4cell-140	80.91
3-4cell-141	78.20
3-4cell-142	81.64
3-4cell-143	81.93
3-4cell-144	83.17
3-4cell-145	80.65
3-4cell-146	82.04
3-4cell-147	82.89
3-4cell-148	82.22
3-4cell-149	82.84
3-4cell-14	91.66
3-4cell-150	85.08
3-4cell-151	82.74
3-4cell-152	85.59
3-4cell-153	79.31
3-4cell-154	81.63
3-4cell-155	82.09
3-4cell-156	77.95
3-4cell-157	82.50
