cell	mt_content
12-16cell-1	0.739577
12-16cell-10	0.817466
12-16cell-100	0.629425
12-16cell-101	0.440768
12-16cell-102	0.226673
12-16cell-103	0.281007
12-16cell-104	0.595550
12-16cell-105	0.131293
12-16cell-106	0.374921
12-16cell-107	0.318465
12-16cell-108	0.242517
12-16cell-109	0.534049
12-16cell-11	0.772341
12-16cell-110	0.339750
12-16cell-111	0.763726
12-16cell-112	0.338545
12-16cell-113	0.392519
12-16cell-114	0.159149
12-16cell-115	0.070697
12-16cell-116	0.392741
12-16cell-117	0.629924
12-16cell-118	0.217936
12-16cell-119	0.438536
12-16cell-12	0.728463
12-16cell-120	0.126744
12-16cell-121	0.173791
12-16cell-122	0.174337
12-16cell-123	0.251382
12-16cell-124	0.299115
12-16cell-125	0.127039
12-16cell-126	0.155111
12-16cell-127	0.107134
12-16cell-128	0.200620
12-16cell-129	0.098885
12-16cell-13	0.723358
12-16cell-130	0.169742
12-16cell-131	0.247978
12-16cell-132	0.140174
12-16cell-133	0.174240
12-16cell-134	0.195373
12-16cell-135	0.280948
12-16cell-136	0.182194
12-16cell-137	0.451098
12-16cell-138	0.296941
12-16cell-139	0.052452
12-16cell-14	0.847191
12-16cell-140	0.155230
12-16cell-141	0.296064
12-16cell-142	0.485321
12-16cell-143	0.247324
12-16cell-144	0.206379
12-16cell-145	0.388840
12-16cell-146	0.196492
12-16cell-147	0.289858
12-16cell-148	0.497112
12-16cell-149	0.241467
12-16cell-15	0.735689
12-16cell-150	0.373585
12-16cell-151	0.614220
12-16cell-152	0.200683
12-16cell-153	0.126727
12-16cell-154	0.170185
12-16cell-155	0.194562
12-16cell-156	0.678063
12-16cell-157	0.252299
12-16cell-158	0.131751
12-16cell-159	0.242274
12-16cell-16	0.723904
12-16cell-160	0.159960
12-16cell-161	0.248566
12-16cell-162	0.395429
12-16cell-163	0.112708
12-16cell-164	0.219698
12-16cell-165	0.176644
12-16cell-166	0.107192
12-16cell-167	0.424936
12-16cell-168	0.019134
12-16cell-169	0.075202
12-16cell-17	0.761285
12-16cell-170	0.099669
12-16cell-171	0.108523
12-16cell-172	0.379297
12-16cell-173	0.120177
12-16cell-174	0.323531
12-16cell-175	0.337693
12-16cell-176	0.073367
12-16cell-177	0.139025
12-16cell-178	0.062102
12-16cell-179	0.084889
12-16cell-18	0.813200
12-16cell-180	0.361740
12-16cell-181	0.063414
12-16cell-182	0.344423
12-16cell-183	0.064302
12-16cell-184	0.039057
12-16cell-185	0.098806
12-16cell-186	0.037559
12-16cell-187	0.111943
12-16cell-188	0.185104
12-16cell-189	0.061494
12-16cell-19	0.714957
12-16cell-190	0.053274
12-16cell-191	0.233708
12-16cell-192	0.098774
12-16cell-193	0.104774
12-16cell-194	0.135971
12-16cell-195	0.126236
12-16cell-196	0.075686
12-16cell-197	0.086700
12-16cell-198	0.042819
12-16cell-199	0.177524
12-16cell-2	0.753878
12-16cell-20	0.781211
12-16cell-200	0.088103
12-16cell-201	0.101735
12-16cell-202	0.281309
12-16cell-203	0.108445
12-16cell-204	0.058999
12-16cell-205	0.101265
12-16cell-206	0.216724
12-16cell-207	0.265578
12-16cell-208	0.320729
12-16cell-209	0.229064
12-16cell-21	0.751723
12-16cell-210	0.146726
12-16cell-211	0.163765
12-16cell-212	0.549774
12-16cell-213	0.184241
12-16cell-214	0.342234
12-16cell-215	0.395552
12-16cell-216	0.198670
12-16cell-217	0.185899
12-16cell-218	0.107191
12-16cell-219	0.067885
12-16cell-22	0.744913
12-16cell-220	0.247044
12-16cell-221	0.304640
12-16cell-222	0.824353
12-16cell-223	0.682073
12-16cell-224	0.820629
12-16cell-225	0.388285
12-16cell-226	0.420466
12-16cell-227	0.449585
12-16cell-228	0.560917
12-16cell-229	0.435777
12-16cell-23	0.768120
12-16cell-230	0.159352
12-16cell-231	0.522847
12-16cell-232	0.093950
12-16cell-233	0.083710
12-16cell-234	0.460079
12-16cell-235	0.388949
12-16cell-236	0.292502
12-16cell-237	0.249023
12-16cell-238	0.535723
12-16cell-239	0.715473
12-16cell-24	0.721974
12-16cell-240	0.535700
12-16cell-241	0.479300
12-16cell-242	0.617151
12-16cell-243	0.173267
12-16cell-244	0.177279
12-16cell-245	0.566236
12-16cell-246	0.324233
12-16cell-247	0.416417
12-16cell-248	0.543804
12-16cell-249	0.587873
12-16cell-25	0.706670
12-16cell-250	0.611167
12-16cell-251	0.479484
12-16cell-252	0.371951
12-16cell-253	0.322601
12-16cell-254	0.827799
12-16cell-255	0.232822
12-16cell-256	0.204557
12-16cell-257	0.355429
12-16cell-258	0.296711
12-16cell-259	0.729853
12-16cell-26	0.771627
12-16cell-260	0.424703
12-16cell-261	0.310713
12-16cell-262	0.606156
12-16cell-263	0.461925
12-16cell-264	0.343249
12-16cell-265	0.088773
12-16cell-266	0.033419
12-16cell-267	0.214329
12-16cell-268	0.203859
12-16cell-269	0.082742
12-16cell-27	0.833359
12-16cell-270	0.247123
12-16cell-271	0.212352
12-16cell-272	0.230169
12-16cell-273	0.092432
12-16cell-274	0.270267
12-16cell-275	0.561366
12-16cell-276	0.163884
12-16cell-277	0.270043
12-16cell-278	0.069042
12-16cell-279	0.149472
12-16cell-28	0.794518
12-16cell-280	0.261840
12-16cell-281	0.184937
12-16cell-282	0.341397
12-16cell-283	0.505849
12-16cell-284	0.558717
12-16cell-285	0.630599
12-16cell-286	0.716129
12-16cell-287	0.826422
12-16cell-288	0.224010
12-16cell-289	0.754420
12-16cell-29	0.710500
12-16cell-290	0.479926
12-16cell-291	0.487757
12-16cell-292	0.421308
12-16cell-293	0.654231
12-16cell-294	0.438877
12-16cell-295	0.395214
12-16cell-296	0.462533
12-16cell-297	0.387010
12-16cell-298	0.755875
12-16cell-299	0.550630
12-16cell-3	0.789646
12-16cell-30	0.855607
12-16cell-300	0.548323
12-16cell-301	0.215206
12-16cell-302	0.457961
12-16cell-303	0.184233
12-16cell-304	0.094641
12-16cell-305	0.169745
12-16cell-306	0.450788
12-16cell-307	0.407121
12-16cell-308	0.562816
12-16cell-309	0.346268
12-16cell-31	0.749641
12-16cell-310	0.325542
12-16cell-311	0.309640
12-16cell-312	0.466608
12-16cell-313	0.283690
12-16cell-314	0.357172
12-16cell-315	0.465091
12-16cell-316	0.142756
12-16cell-317	0.232512
12-16cell-318	0.465197
12-16cell-319	0.295095
12-16cell-32	0.686097
12-16cell-320	0.197318
12-16cell-321	0.257764
12-16cell-322	0.443970
12-16cell-323	0.434949
12-16cell-324	0.054163
12-16cell-325	0.033716
12-16cell-326	0.319824
12-16cell-327	0.515556
12-16cell-328	0.126028
12-16cell-329	0.579724
12-16cell-33	0.705784
12-16cell-330	0.316478
12-16cell-331	0.468008
12-16cell-332	0.303123
12-16cell-333	0.519557
12-16cell-334	0.451646
12-16cell-335	0.241404
12-16cell-336	0.494804
12-16cell-337	0.209026
12-16cell-338	0.423902
12-16cell-339	0.301375
12-16cell-34	0.867371
12-16cell-340	0.205710
12-16cell-341	0.106150
12-16cell-342	0.136940
12-16cell-343	0.322472
12-16cell-344	0.146414
12-16cell-345	0.160356
12-16cell-346	0.169633
12-16cell-347	0.114407
12-16cell-348	0.103348
12-16cell-349	0.196034
12-16cell-35	0.858807
12-16cell-350	0.126648
12-16cell-351	0.079509
12-16cell-352	0.077350
12-16cell-353	0.203117
12-16cell-354	0.071290
12-16cell-355	0.183324
12-16cell-356	0.205150
12-16cell-357	0.176225
12-16cell-358	0.437179
12-16cell-359	0.145896
12-16cell-36	0.809187
12-16cell-360	0.121994
12-16cell-361	0.062109
12-16cell-362	0.309379
12-16cell-363	0.225565
12-16cell-364	0.331300
12-16cell-365	0.096086
12-16cell-366	0.438019
12-16cell-367	0.044756
12-16cell-368	0.188841
12-16cell-369	0.525043
12-16cell-37	0.838237
12-16cell-370	0.448352
12-16cell-371	0.321126
12-16cell-372	0.688550
12-16cell-373	0.245183
12-16cell-374	0.517958
12-16cell-375	0.380435
12-16cell-376	0.292370
12-16cell-377	0.413218
12-16cell-378	0.438905
12-16cell-379	0.259234
12-16cell-38	0.890026
12-16cell-380	0.191426
12-16cell-381	0.323809
12-16cell-382	0.729151
12-16cell-383	0.546831
12-16cell-384	0.357123
12-16cell-385	0.815418
12-16cell-386	0.647910
12-16cell-387	0.871992
12-16cell-388	0.852787
12-16cell-389	0.852754
12-16cell-39	0.841631
12-16cell-390	0.790036
12-16cell-391	0.526960
12-16cell-392	0.794543
12-16cell-393	0.236039
12-16cell-394	0.825244
12-16cell-395	0.667008
12-16cell-396	0.726218
12-16cell-397	0.884187
12-16cell-398	0.481487
12-16cell-399	0.656954
12-16cell-4	0.721965
12-16cell-40	0.848080
12-16cell-400	0.680968
12-16cell-401	0.694979
12-16cell-402	0.831074
12-16cell-403	0.799161
12-16cell-404	0.750488
12-16cell-405	0.788051
12-16cell-406	0.828311
12-16cell-407	0.855129
12-16cell-408	0.370798
12-16cell-409	0.849562
12-16cell-41	0.849891
12-16cell-410	0.832005
12-16cell-411	0.657802
12-16cell-412	0.784677
12-16cell-413	0.805948
12-16cell-414	0.772089
12-16cell-415	0.587594
12-16cell-416	0.746518
12-16cell-417	0.576562
12-16cell-418	0.851488
12-16cell-419	0.863792
12-16cell-42	0.621912
12-16cell-420	0.815233
12-16cell-421	0.770568
12-16cell-422	0.790164
12-16cell-423	0.883641
12-16cell-424	0.801868
12-16cell-425	0.829390
12-16cell-426	0.802839
12-16cell-427	0.897210
12-16cell-428	0.838893
12-16cell-429	0.790329
12-16cell-43	0.874478
12-16cell-430	0.748037
12-16cell-431	0.806398
12-16cell-432	0.834145
12-16cell-433	0.849564
12-16cell-434	0.865809
12-16cell-435	0.307808
12-16cell-436	0.862870
12-16cell-437	0.757941
12-16cell-438	0.772473
12-16cell-439	0.723142
12-16cell-44	0.879245
12-16cell-440	0.645029
12-16cell-441	0.661750
12-16cell-442	0.778148
12-16cell-443	0.843439
12-16cell-444	0.792805
12-16cell-445	0.680152
12-16cell-446	0.835719
12-16cell-447	0.758000
12-16cell-448	0.868926
12-16cell-449	0.735466
12-16cell-45	0.868760
12-16cell-450	0.780268
12-16cell-46	0.295285
12-16cell-47	0.409578
12-16cell-48	0.425295
12-16cell-49	0.316647
12-16cell-5	0.857552
12-16cell-50	0.482191
12-16cell-51	0.341828
12-16cell-52	0.312341
12-16cell-53	0.464539
12-16cell-54	0.380124
12-16cell-55	0.550895
12-16cell-56	0.579079
12-16cell-57	0.497118
12-16cell-58	0.378913
12-16cell-59	0.349324
12-16cell-6	0.747245
12-16cell-60	0.441765
12-16cell-61	0.409732
12-16cell-62	0.666953
12-16cell-63	0.618137
12-16cell-64	0.384211
12-16cell-65	0.520691
12-16cell-66	0.565975
12-16cell-67	0.649937
12-16cell-68	0.379089
12-16cell-69	0.392557
12-16cell-7	0.723414
12-16cell-70	0.479715
12-16cell-71	0.470524
12-16cell-72	0.231741
12-16cell-73	0.434754
12-16cell-74	0.363218
12-16cell-75	0.459566
12-16cell-76	0.379899
12-16cell-77	0.520986
12-16cell-78	0.423651
12-16cell-79	0.343039
12-16cell-8	0.745917
12-16cell-80	0.354526
12-16cell-81	0.525864
12-16cell-82	0.485732
12-16cell-83	0.514069
12-16cell-84	0.618209
12-16cell-85	0.540606
12-16cell-86	0.644789
12-16cell-87	0.376461
12-16cell-88	0.497509
12-16cell-89	0.291570
12-16cell-9	0.816647
12-16cell-90	0.786086
12-16cell-91	0.714286
12-16cell-92	0.458392
12-16cell-93	0.412339
12-16cell-94	0.436085
12-16cell-95	0.470359
12-16cell-96	0.222971
12-16cell-97	0.662972
12-16cell-98	0.782888
12-16cell-99	0.430995
2cell-1	0.048094
2cell-10	0.058139
2cell-100	0.012695
2cell-101	0.006916
2cell-102	0.003386
2cell-103	0.094150
2cell-104	0.017423
2cell-105	0.005678
2cell-106	0.005630
2cell-107	0.016885
2cell-108	0.030837
2cell-109	0.006334
2cell-11	0.142149
2cell-110	0.006468
2cell-111	0.017620
2cell-112	0.013406
2cell-113	0.018073
2cell-114	0.024445
2cell-115	0.005698
2cell-116	0.006229
2cell-117	0.005479
2cell-118	0.006143
2cell-119	0.001775
2cell-12	0.047957
2cell-120	0.031714
2cell-121	0.036258
2cell-122	0.001981
2cell-123	0.004992
2cell-124	0.032376
2cell-125	0.021306
2cell-126	0.009317
