cell	sequencing_depth
12-16cell-100	37560
12-16cell-101	74843
12-16cell-102	254648
12-16cell-103	378266
12-16cell-104	546101
12-16cell-105	70226
12-16cell-106	282131
12-16cell-107	294311
12-16cell-108	451057
12-16cell-109	600351
12-16cell-10	254367
12-16cell-110	441241
12-16cell-111	169517
12-16cell-112	543759
12-16cell-113	626863
12-16cell-114	126439
12-16cell-115	549464
12-16cell-116	494445
12-16cell-117	434915
12-16cell-118	205427
12-16cell-119	163868
12-16cell-11	410256
12-16cell-120	369088
12-16cell-121	398685
12-16cell-122	334964
12-16cell-123	1186116
12-16cell-124	835099
12-16cell-125	377681
12-16cell-126	496671
12-16cell-127	1059734
12-16cell-128	342349
12-16cell-129	1249673
12-16cell-12	852224
12-16cell-130	618970
12-16cell-131	141724
12-16cell-132	771616
12-16cell-133	372820
12-16cell-134	460239
12-16cell-135	475313
12-16cell-136	279849
12-16cell-137	208992
12-16cell-138	172148
12-16cell-139	559571
12-16cell-13	696082
12-16cell-140	563046
12-16cell-141	331414
12-16cell-142	588263
12-16cell-143	155607
12-16cell-144	72431
12-16cell-145	228148
12-16cell-146	507736
12-16cell-147	590220
12-16cell-148	186286
12-16cell-149	659815
12-16cell-14	344529
12-16cell-150	522442
12-16cell-151	825996
12-16cell-152	654256
12-16cell-153	556735
12-16cell-154	430428
12-16cell-155	382867
12-16cell-156	111621
12-16cell-157	246482
12-16cell-158	466647
12-16cell-159	176715
12-16cell-15	411905
12-16cell-160	524699
12-16cell-161	115458
12-16cell-162	435192
12-16cell-163	987722
12-16cell-164	326711
12-16cell-165	722213
12-16cell-166	181441
12-16cell-167	1223950
12-16cell-168	467704
12-16cell-169	81912
12-16cell-16	425911
12-16cell-170	581133
12-16cell-171	156721
12-16cell-172	209896
12-16cell-173	256514
12-16cell-174	210617
12-16cell-175	734656
12-16cell-176	412685
12-16cell-177	493433
12-16cell-178	546437
12-16cell-179	168286
12-16cell-17	337280
12-16cell-180	114738
12-16cell-181	257757
12-16cell-182	281966
12-16cell-183	2214871
12-16cell-184	2344763
12-16cell-185	1240135
12-16cell-186	1565477
12-16cell-187	2447491
12-16cell-188	917464
12-16cell-189	1719428
12-16cell-18	403199
12-16cell-190	1070001
12-16cell-191	292444
12-16cell-192	1168134
12-16cell-193	1244503
12-16cell-194	1379318
12-16cell-195	879755
12-16cell-196	1792937
12-16cell-197	1248784
12-16cell-198	1718192
12-16cell-199	907864
12-16cell-19	254138
12-16cell-1	412528
12-16cell-200	2152936
12-16cell-201	803435
12-16cell-202	446068
12-16cell-203	853728
12-16cell-204	1283556
12-16cell-205	1293473
12-16cell-206	623229
12-16cell-207	488050
12-16cell-208	608365
12-16cell-209	285460
12-16cell-20	208216
12-16cell-210	1554810
12-16cell-211	317453
12-16cell-212	496369
12-16cell-213	1479854
12-16cell-214	687330
12-16cell-215	337203
12-16cell-216	359254
12-16cell-217	389561
12-16cell-218	1219944
12-16cell-219	653647
12-16cell-21	270090
12-16cell-220	923246
12-16cell-221	569779
12-16cell-222	301274
12-16cell-223	107392
12-16cell-224	73178
12-16cell-225	255438
12-16cell-226	162461
12-16cell-227	321864
12-16cell-228	448434
12-16cell-229	355892
12-16cell-22	236357
12-16cell-230	174279
12-16cell-231	80361
12-16cell-232	186929
12-16cell-233	204984
12-16cell-234	237062
12-16cell-235	68521
12-16cell-236	95752
12-16cell-237	120334
12-16cell-238	243129
12-16cell-239	157740
12-16cell-23	327958
12-16cell-240	226554
12-16cell-241	216293
12-16cell-242	49325
12-16cell-243	61859
12-16cell-244	172151
12-16cell-245	164510
12-16cell-246	80132
12-16cell-247	221816
12-16cell-248	166155
12-16cell-249	233523
12-16cell-24	252140
12-16cell-250	210199
12-16cell-251	208032
12-16cell-252	69189
12-16cell-253	161835
12-16cell-254	131514
12-16cell-255	147915
12-16cell-256	124953
12-16cell-257	135528
12-16cell-258	137688
12-16cell-259	284846
12-16cell-25	219103
12-16cell-260	17127
12-16cell-261	20568
12-16cell-262	465862
12-16cell-263	725551
12-16cell-264	187385
12-16cell-265	87012
12-16cell-266	188064
12-16cell-267	398905
12-16cell-268	78066
12-16cell-269	139638
12-16cell-26	402548
12-16cell-270	58582
12-16cell-271	309034
12-16cell-272	514089
12-16cell-273	481722
12-16cell-274	261941
12-16cell-275	297840
12-16cell-276	196176
12-16cell-277	143931
12-16cell-278	327582
12-16cell-279	194637
12-16cell-27	395477
12-16cell-280	712512
12-16cell-281	540914
12-16cell-282	549075
12-16cell-283	423056
12-16cell-284	214483
12-16cell-285	285619
12-16cell-286	229595
12-16cell-287	130616
12-16cell-288	32335
12-16cell-289	245213
12-16cell-28	310131
12-16cell-290	617798
12-16cell-291	71039
12-16cell-292	239448
12-16cell-293	236236
12-16cell-294	463232
12-16cell-295	421876
12-16cell-296	426641
12-16cell-297	237770
12-16cell-298	231802
12-16cell-299	531273
12-16cell-29	240157
12-16cell-2	326894
12-16cell-300	1081548
12-16cell-301	598664
12-16cell-302	732477
12-16cell-303	405568
12-16cell-304	359246
12-16cell-305	465911
12-16cell-306	679807
12-16cell-307	494103
12-16cell-308	82247
12-16cell-309	419046
12-16cell-30	329865
12-16cell-310	234395
12-16cell-311	394486
12-16cell-312	488003
12-16cell-313	97684
12-16cell-314	331451
12-16cell-315	474698
12-16cell-316	166356
12-16cell-317	50063
12-16cell-318	194952
12-16cell-319	164004
12-16cell-31	282564
12-16cell-320	357693
12-16cell-321	254943
12-16cell-322	473996
12-16cell-323	875886
12-16cell-324	392589
12-16cell-325	238877
12-16cell-326	557586
12-16cell-327	166711
12-16cell-328	820699
12-16cell-329	138356
12-16cell-32	295007
12-16cell-330	355130
12-16cell-331	100265
12-16cell-332	395635
12-16cell-333	219451
12-16cell-334	943802
12-16cell-335	546139
12-16cell-336	246214
12-16cell-337	578203
12-16cell-338	167469
12-16cell-339	653094
12-16cell-33	442745
12-16cell-340	82730
12-16cell-341	418295
12-16cell-342	834418
12-16cell-343	823706
12-16cell-344	1445757
12-16cell-345	2225285
12-16cell-346	1862296
12-16cell-347	1618713
12-16cell-348	579692
12-16cell-349	378499
12-16cell-34	269708
12-16cell-350	1301665
12-16cell-351	1805429
12-16cell-352	1222848
12-16cell-353	1551331
12-16cell-354	2522788
12-16cell-355	929451
12-16cell-356	982632
12-16cell-357	2072395
12-16cell-358	441164
12-16cell-359	1209148
12-16cell-35	313064
12-16cell-360	5488709
12-16cell-361	158671
12-16cell-362	260133
12-16cell-363	272279
12-16cell-364	209891
12-16cell-365	148951
12-16cell-366	146812
12-16cell-367	287558
12-16cell-368	148109
12-16cell-369	77478
12-16cell-36	416440
12-16cell-370	273660
12-16cell-371	428629
12-16cell-372	143726
12-16cell-373	308622
12-16cell-374	392878
12-16cell-375	204113
12-16cell-376	164827
12-16cell-377	99993
12-16cell-378	303020
12-16cell-379	391354
12-16cell-37	379241
12-16cell-380	398533
12-16cell-381	298827
12-16cell-382	137650
12-16cell-383	75633
12-16cell-384	157530
