cell	uniq_frags
12-16cell-1	13011.000000
12-16cell-10	6210.000000
12-16cell-100	2617.000000
12-16cell-101	8535.000000
12-16cell-102	39135.000000
12-16cell-103	51165.000000
12-16cell-104	33065.000000
12-16cell-105	13286.000000
12-16cell-106	31579.000000
12-16cell-107	43347.000000
12-16cell-108	60738.000000
12-16cell-109	37825.000000
12-16cell-11	13683.000000
12-16cell-110	47159.000000
12-16cell-111	5917.000000
12-16cell-112	56229.000000
12-16cell-113	57868.000000
12-16cell-114	20600.000000
12-16cell-115	98929.000000
12-16cell-116	47297.000000
12-16cell-117	23636.000000
12-16cell-118	27976.000000
12-16cell-119	17210.000000
12-16cell-12	26890.000000
12-16cell-120	59508.000000
12-16cell-121	61636.000000
12-16cell-122	49567.000000
12-16cell-123	134639.000000
12-16cell-124	92507.000000
12-16cell-125	60202.000000
12-16cell-126	78840.000000
12-16cell-127	167199.000000
12-16cell-128	48464.000000
12-16cell-129	206487.000000
12-16cell-13	21497.000000
12-16cell-130	92974.000000
12-16cell-131	19994.000000
12-16cell-132	122244.000000
12-16cell-133	56482.000000
12-16cell-134	69284.000000
12-16cell-135	58551.000000
12-16cell-136	40793.000000
12-16cell-137	21349.000000
12-16cell-138	22687.000000
12-16cell-139	109439.000000
12-16cell-14	6712.000000
12-16cell-140	88455.000000
12-16cell-141	40313.000000
12-16cell-142	45213.000000
12-16cell-143	21443.000000
12-16cell-144	13213.000000
12-16cell-145	24238.000000
12-16cell-146	80767.000000
12-16cell-147	71414.000000
12-16cell-148	16280.000000
12-16cell-149	88049.000000
12-16cell-15	13210.000000
12-16cell-150	55823.000000
12-16cell-151	43737.000000
12-16cell-152	92242.000000
12-16cell-153	91581.000000
12-16cell-154	66518.000000
12-16cell-155	58478.000000
12-16cell-156	5989.000000
12-16cell-157	32762.000000
12-16cell-158	76425.000000
12-16cell-159	23269.000000
12-16cell-16	14246.000000
12-16cell-160	83563.000000
12-16cell-161	17159.000000
12-16cell-162	43193.000000
12-16cell-163	155867.000000
12-16cell-164	44716.000000
12-16cell-165	104623.000000
12-16cell-166	29993.000000
12-16cell-167	98041.000000
12-16cell-168	82227.000000
12-16cell-169	14794.000000
12-16cell-17	9688.000000
12-16cell-170	95156.000000
12-16cell-171	26065.000000
12-16cell-172	23020.000000
12-16cell-173	43853.000000
12-16cell-174	28779.000000
12-16cell-175	74997.000000
12-16cell-176	70261.000000
12-16cell-177	73597.000000
12-16cell-178	93575.000000
12-16cell-179	31855.000000
12-16cell-18	9773.000000
12-16cell-180	13586.000000
12-16cell-181	46878.000000
12-16cell-182	32335.000000
12-16cell-183	395728.000000
12-16cell-184	421089.000000
12-16cell-185	223087.000000
12-16cell-186	330715.000000
12-16cell-187	382520.000000
12-16cell-188	131155.000000
12-16cell-189	332021.000000
12-16cell-19	10440.000000
12-16cell-190	204757.000000
12-16cell-191	64331.000000
12-16cell-192	216105.000000
12-16cell-193	206082.000000
12-16cell-194	224333.000000
12-16cell-195	162016.000000
12-16cell-196	311114.000000
12-16cell-197	252710.000000
12-16cell-198	351232.000000
12-16cell-199	145603.000000
12-16cell-2	10884.000000
12-16cell-20	6684.000000
12-16cell-200	381928.000000
12-16cell-201	161155.000000
12-16cell-202	59844.000000
12-16cell-203	178779.000000
12-16cell-204	221985.000000
12-16cell-205	204252.000000
12-16cell-206	90647.000000
12-16cell-207	59569.000000
12-16cell-208	66195.000000
12-16cell-209	37385.000000
12-16cell-21	9544.000000
12-16cell-210	240131.000000
12-16cell-211	52110.000000
12-16cell-212	34282.000000
12-16cell-213	226170.000000
12-16cell-214	74367.000000
12-16cell-215	35145.000000
12-16cell-216	55436.000000
12-16cell-217	61958.000000
12-16cell-218	214709.000000
12-16cell-219	113527.000000
12-16cell-22	8136.000000
12-16cell-220	119400.000000
12-16cell-221	68260.000000
12-16cell-222	7974.000000
12-16cell-223	5723.000000
12-16cell-224	2306.000000
12-16cell-225	29429.000000
12-16cell-226	16701.000000
12-16cell-227	31661.000000
12-16cell-228	32731.000000
12-16cell-229	36824.000000
12-16cell-23	10049.000000
12-16cell-230	31969.000000
12-16cell-231	7435.000000
12-16cell-232	35345.000000
12-16cell-233	41737.000000
12-16cell-234	24074.000000
12-16cell-235	9035.000000
12-16cell-236	13342.000000
12-16cell-237	18254.000000
12-16cell-238	18416.000000
12-16cell-239	7495.000000
12-16cell-24	10032.000000
12-16cell-240	22285.000000
12-16cell-241	20426.000000
12-16cell-242	3969.000000
12-16cell-243	11857.000000
12-16cell-244	29692.000000
12-16cell-245	12292.000000
12-16cell-246	10965.000000
12-16cell-247	24521.000000
12-16cell-248	13565.000000
12-16cell-249	16251.000000
12-16cell-25	9645.000000
12-16cell-250	14367.000000
12-16cell-251	20703.000000
12-16cell-252	9270.000000
12-16cell-253	21397.000000
